,keyword,count,ratio
169,傷及,96,2.07
170,同意,96,2.07
171,61,96,2.07
172,警詢,95,2.05
173,營養,95,2.05
174,營業損失,95,2.05
175,62,95,2.05
176,條請求,95,2.05
177,扣繳,94,2.03
178,否認,93,2.01
179,時速,92,1.98
180,勞動力,92,1.98
181,市政府,92,1.98
182,揭規定,92,1.98
183,負連帶,92,1.98
184,尺骨,92,1.98
185,閘門,92,1.98
186,389,92,1.98
187,187,90,1.94
188,右肩,90,1.94
189,213,90,1.94
190,開過,90,1.94
191,75,89,1.92
192,58,89,1.92
193,64,89,1.92
194,紙為證,89,1.92
195,73,88,1.9
196,醫囑,88,1.9
197,並經,88,1.9
198,有過,88,1.9
199,路由,88,1.9
200,門齒,88,1.9
201,受僱,87,1.88
202,接受,87,1.88
203,胸壁,87,1.88
204,金錢,87,1.88
205,情狀,87,1.88
206,創傷,87,1.88
207,78,87,1.88
208,63,85,1.83
209,明細表,85,1.83
210,67,84,1.81
211,前方,84,1.81
212,頭皮,84,1.81
213,右小腿,82,1.77
214,優先,82,1.77
215,小客,81,1.75
216,足踝,81,1.75
217,82,81,1.75
218,可證,81,1.75
219,半日,80,1.73
220,鋼釘,80,1.73
221,217,79,1.7
222,185,79,1.7
223,從事,79,1.7
224,明確,79,1.7
225,新品,79,1.7
226,法官,79,1.7
227,衛生署,79,1.7
228,資力,79,1.7
229,76,78,1.68
230,脫臼,78,1.68
231,壓迫,78,1.68
232,壹元,77,1.66
233,行駛時,77,1.66
234,出具,77,1.66
235,免除,76,1.64
236,前臂,76,1.64
237,69,75,1.62
238,84,75,1.62
239,之間,75,1.62
240,255,75,1.62
241,闖越,75,1.62
242,其餘之訴,74,1.6
243,酒精,74,1.6
244,號機車,74,1.6
245,008,74,1.6
246,採信,73,1.57
247,參仟,73,1.57
248,日期,73,1.57
249,左手,73,1.57
250,繳納,73,1.57
251,症狀,72,1.55
252,近端,72,1.55
253,搭載,72,1.55
254,背部,72,1.55
255,年齡,71,1.53
256,無照,71,1.53
257,血腫,71,1.53
258,230,71,1.53
259,71,70,1.51
260,義務,70,1.51
261,114,70,1.51
262,輔助,69,1.49
263,因毀,69,1.49
264,之修,69,1.49
265,132,68,1.47
266,假牙,68,1.47
267,法人,68,1.47
268,車應,68,1.47
269,大腿,68,1.47
270,273,68,1.47
271,手勢,67,1.44
272,繼續,67,1.44
273,負重,67,1.44
274,乙節,67,1.44
275,鈍挫傷,67,1.44
276,屬有,67,1.44
277,人車,66,1.42
278,相符,66,1.42
279,疼痛,66,1.42
280,限制,66,1.42
281,本庭,66,1.42
282,客觀,65,1.4
283,上肢,65,1.4
284,左足,65,1.4
285,按因,65,1.4
286,公路,64,1.38
287,身心,64,1.38
288,之責,64,1.38
289,右肘,64,1.38
290,確實,64,1.38
291,號營業,64,1.38
292,骨盆,64,1.38
293,輪椅,63,1.36
294,亞東,63,1.36
295,比例,62,1.34
296,灣嘉義,62,1.34
297,美容,62,1.34
298,闖紅燈,62,1.34
299,聲請,62,1.34
300,390,62,1.34
301,216,61,1.32
302,560,61,1.32
303,三個,61,1.32
304,之診斷,61,1.32
305,報告表,61,1.32
306,74,61,1.32
307,撤回,61,1.32
308,雖非,61,1.32
309,自理,60,1.29
310,救護,60,1.29
311,115,60,1.29
312,轉彎,60,1.29
313,必須,60,1.29
314,960,60,1.29
315,缺損,60,1.29
316,調閱,60,1.29
317,平均法,60,1.29
318,有期徒刑,60,1.29
319,其物,60,1.29
320,難認,59,1.27
321,需人,59,1.27
322,律師,59,1.27
323,同一,59,1.27
324,760,59,1.27
325,送修,59,1.27
326,踝骨,59,1.27
327,雙膝,59,1.27
328,122,59,1.27
329,89,59,1.27
330,舊值,59,1.27
331,沿桃園,58,1.25
332,91,58,1.25
333,醫學院,58,1.25
334,胸部,58,1.25
335,移除,58,1.25
336,190,58,1.25
337,左腳,58,1.25
338,左踝,58,1.25
339,公會,58,1.25
340,調取,58,1.25
341,補提,58,1.25
342,急煞,57,1.23
343,鋼板,57,1.23
344,財物損失,57,1.23
345,交易,57,1.23
346,款定,57,1.23
347,拔除,57,1.23
348,88,57,1.23
349,到庭,57,1.23
350,增加,56,1.21
351,自費,56,1.21
352,080,56,1.21
353,540,56,1.21
354,左方,56,1.21
355,128,56,1.21
356,舊後價值,56,1.21
357,判斷,55,1.19
358,保險金,55,1.19
359,即貿然,55,1.19
360,項之規定,55,1.19
361,109,55,1.19
362,致系爭,55,1.19
363,最後言詞,55,1.19
364,440,55,1.19
365,640,55,1.19
366,或陳述,55,1.19
367,擴大,54,1.16
368,上班,54,1.16
369,380,54,1.16
370,維修費用,54,1.16
371,出廠,54,1.16
372,損所,54,1.16
373,以實,53,1.14
374,研判,53,1.14
375,脫位,53,1.14
376,利率,53,1.14
377,皮膚,52,1.12
378,144,52,1.12
379,需要,52,1.12
380,保持,52,1.12
381,手肘,52,1.12
382,調卷,52,1.12
383,膝部,52,1.12
384,87,52,1.12
385,簡易判,52,1.12
386,負責,51,1.1
387,430,51,1.1
388,124,51,1.1
389,殘值,51,1.1
390,手術費,51,1.1
391,330,51,1.1
392,530,51,1.1
393,超越,51,1.1
394,免為,51,1.1
395,開立,51,1.1
396,參萬,51,1.1
397,118,51,1.1
398,路邊,51,1.1
399,肢體,51,1.1
400,165,51,1.1
401,劃有,51,1.1
402,135,51,1.1
403,之範圍,50,1.08
404,協助,50,1.08
405,無關,50,1.08
406,破裂,50,1.08
407,之上,50,1.08
408,沿新北市,50,1.08
409,113,50,1.08
410,明為,50,1.08
411,192,50,1.08
412,裂傷,50,1.08
413,醫學大學,50,1.08
414,不便,49,1.06
415,並應,49,1.06
416,145,49,1.06
417,不慎,49,1.06
418,日薪,49,1.06
419,81,49,1.06
420,143,49,1.06
421,車輛修理費,49,1.06
422,各款,49,1.06
423,133,48,1.04
424,明細,48,1.04
425,890,48,1.04
426,290,48,1.04
427,所失,48,1.04
428,490,48,1.04
429,調件,48,1.04
430,疏未,48,1.04
431,肌腱,47,1.01
432,指示,47,1.01
433,肆拾,47,1.01
434,症候群,47,1.01
435,630,47,1.01
436,左肘,47,1.01
437,設有,47,1.01
438,致受,47,1.01
439,查詢,47,1.01
440,158,47,1.01
441,一路,47,1.01
442,0.536,47,1.01
443,足見,46,0.99
444,119,46,0.99
445,168,46,0.99
446,該車,46,0.99
447,利益,46,0.99
448,慰藉,46,0.99
449,470,46,0.99
450,136,46,0.99
451,右腳,46,0.99
452,620,46,0.99
453,禁止,46,0.99
454,元乙節,46,0.99
455,分別定,46,0.99
456,670,46,0.99
457,傷等,46,0.99
458,左鎖,46,0.99
459,管制,45,0.97
460,自得,45,0.97
461,223,45,0.97
462,巷口,45,0.97
463,持續,45,0.97
464,肆元,45,0.97
465,煞停,45,0.97
466,故請求,45,0.97
467,處擦傷,45,0.97
468,370,45,0.97
469,飲用,45,0.97
470,134,45,0.97
471,李崇豪,45,0.97
472,開時,45,0.97
473,桃交,44,0.95
474,脊椎,44,0.95
475,救護車,44,0.95
476,任險,44,0.95
477,中藥,44,0.95
478,分局,44,0.95
479,138,44,0.95
480,運動,44,0.95
481,營養品,44,0.95
482,法定,44,0.95
483,830,44,0.95
484,掌骨,44,0.95
485,386,44,0.95
486,病變,43,0.93
487,平均,43,0.93
488,510,43,0.93
489,相抵,43,0.93
490,必要性,43,0.93
491,函詢,43,0.93
492,並受,43,0.93
493,153,43,0.93
494,142,43,0.93
495,雙手,43,0.93
496,上述,43,0.93
497,胸椎,43,0.93
498,129,43,0.93
499,車費用,42,0.91
