,keyword,count,ratio
398,135,50,1.1
399,失者,50,1.1
400,81,49,1.08
401,皮膚,49,1.08
402,230,49,1.08
403,害罪,49,1.08
404,430,49,1.08
405,交叉路口,49,1.08
406,殘值,49,1.08
407,88,48,1.06
408,騎車,48,1.06
409,67,48,1.06
410,途經,48,1.06
411,禁止,48,1.06
412,008,48,1.06
413,注意安全,48,1.06
414,該車,48,1.06
415,地位,48,1.06
416,保持,47,1.04
417,83,47,1.04
418,顯有,47,1.04
419,78,47,1.04
420,需人,47,1.04
421,列當事,47,1.04
422,裂傷,47,1.04
423,萬餘元,47,1.04
424,植牙,47,1.04
425,已經,46,1.01
426,脫臼,46,1.01
427,其數額,46,1.01
428,510,46,1.01
429,122,46,1.01
430,柒元,46,1.01
431,115,46,1.01
432,車行,45,0.99
433,醫生,45,0.99
434,案件,45,0.99
435,醫囑,45,0.99
436,增加,45,0.99
437,87,45,0.99
438,左踝,45,0.99
439,保險金,45,0.99
440,第三,45,0.99
441,協助,45,0.99
442,談話紀,45,0.99
443,雷射,45,0.99
444,精神科,45,0.99
445,四肢,45,0.99
446,82,45,0.99
447,860,45,0.99
448,裁判,44,0.97
449,日薪,44,0.97
450,並應,44,0.97
451,已盡,44,0.97
452,040,44,0.97
453,適有,44,0.97
454,之慰,44,0.97
455,之規定,44,0.97
456,由東,44,0.97
457,及此,44,0.97
458,530,44,0.97
459,慰藉,43,0.95
460,扣薪,43,0.95
461,兩側,43,0.95
462,由南,43,0.95
463,診費用,43,0.95
464,開庭,43,0.95
465,自得,43,0.95
466,準此,43,0.95
467,則以,43,0.95
468,670,43,0.95
469,足見,43,0.95
470,所失,43,0.95
471,一路,43,0.95
472,370,43,0.95
473,各款,43,0.95
474,行之間,42,0.93
475,交通部,42,0.93
476,交易,42,0.93
477,590,42,0.93
478,伍萬,42,0.93
479,陸元,42,0.93
480,540,42,0.93
481,890,42,0.93
482,負責,41,0.9
483,輔助,41,0.9
484,傷等,41,0.9
485,肌腱,41,0.9
486,之範圍,41,0.9
487,防禦,41,0.9
488,未能,41,0.9
489,部外,41,0.9
490,有期徒刑,41,0.9
491,X光,41,0.9
492,肆萬,41,0.9
493,突出,41,0.9
494,髖部,41,0.9
495,抗告,41,0.9
496,30%,41,0.9
497,腰部,41,0.9
498,側車,41,0.9
499,骨盆,41,0.9
